1540 34.4772042000 8.8505418000
1668 49.4648680000 11.6178426000
1796 62.3039246000 14.5050808000
1924 78.4667598000 18.3512924000
2052 85.7901704000 21.5365896000
2180 107.5691914000 26.2040326000
2308 135.7564298000 31.1635264000
2436 152.0906730000 37.3423778000
2564 179.6017556000 44.4010664000
