256 .0569417000 16937522 25248 .0224656000 2191324 25284
288 .0610701000 25473182 31789 .0317928000 3106665 31826
320 .0857330000 33914174 39097 .0426569000 4242628 39138
352 .1120995000 46541720 47173 .0559494000 5630470 47219
384 .1803166000 57640064 56017 .0722518000 7286294 56067
416 .1877179000 76863688 65629 .0915756000 9247198 65683
448 .2595276000 93065451 76010 .1150378000 11523528 76067
480 .2908443000 118121961 87160 .1414867000 14153407 87219
512 .5339938000 134848603 99076 .1667874000 17143196 99140
